Area,Category,Country,Customer ID,Customer Name,Discount,Order Date,Order ID,Postal Code,Product ID,Product Name,Profit,Quantity,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category
Central,Office Supplies,United States,HP-14815,Harold Pawlan,0.8,2015-11-22,US-2015-118983,76106,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",-123.858,5,68.81,Home Office,2015-11-26,Standard Class,Texas,Appliances
Central,Office Supplies,United States,HP-14815,Harold Pawlan,0.8,2015-11-22,US-2015-118983,76106,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,-3.816,3,2.544,Home Office,2015-11-26,Standard Class,Texas,Binders
Central,Office Supplies,United States,PK-19075,Pete Kriz,0,2014-11-11,CA-2014-105893,53711,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",13.3176,6,665.88,Consumer,2014-11-18,Standard Class,Wisconsin,Storage
Central,Office Supplies,United States,KB-16585,Ken Black,0,2016-12-09,CA-2016-137330,68025,OFF-AR-10000246,Newell 318,5.0596,7,19.46,Corporate,2016-12-13,Standard Class,Nebraska,Art
Central,Office Supplies,United States,KB-16585,Ken Black,0,2016-12-09,CA-2016-137330,68025,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",15.6884,7,60.34,Corporate,2016-12-13,Standard Class,Nebraska,Appliances
Central,Office Supplies,United States,MA-17560,Matt Abelman,0.2,2017-10-19,CA-2017-107727,77095,OFF-PA-10000249,Easy-staple paper,9.9468,3,29.472,Home Office,2017-10-23,Second Class,Texas,Paper
Central,Technology,United States,GH-14485,Gene Hale,0.2,2016-12-08,CA-2016-117590,75080,TEC-PH-10004977,GE 30524EE4,123.4737,7,1097.544,Corporate,2016-12-10,First Class,Texas,Phones
Central,Furniture,United States,GH-14485,Gene Hale,0.6,2016-12-08,CA-2016-117590,75080,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",-147.963,5,190.92,Corporate,2016-12-10,First Class,Texas,Furnishings
Central,Office Supplies,United States,SN-20710,Steve Nguyen,0.2,2015-12-27,CA-2015-117415,77041,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",35.415,9,113.328,Home Office,2015-12-31,Standard Class,Texas,Envelopes
Central,Furniture,United States,SN-20710,Steve Nguyen,0.32,2015-12-27,CA-2015-117415,77041,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",-46.9764,3,532.3992,Home Office,2015-12-31,Standard Class,Texas,Bookcases
Central,Furniture,United States,SN-20710,Steve Nguyen,0.3,2015-12-27,CA-2015-117415,77041,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",-15.147,3,212.058,Home Office,2015-12-31,Standard Class,Texas,Chairs
Central,Technology,United States,SN-20710,Steve Nguyen,0.2,2015-12-27,CA-2015-117415,77041,TEC-PH-10000486,Plantronics HL10 Handset Lifter,41.7564,4,371.168,Home Office,2015-12-31,Standard Class,Texas,Phones
Central,Technology,United States,LC-16930,Linda Cazamias,0.2,2017-09-10,CA-2017-120999,60540,TEC-PH-10004093,Panasonic Kx-TS550,16.5564,4,147.168,Corporate,2017-09-15,Standard Class,Illinois,Phones
